rank,item,repo_name,stars,forks,watchers,language,repo_url,username,pullRequests,milestones,issues,totalIssues,vulnerability,created,last_commit,description
6,Ruby,brew,30394,6998,677,Ruby,https://github.com/Homebrew/brew,Homebrew,8565,4,31,3384,0,2016-03-06T05:08:38Z,2021-12-28T22:04:19Z,🍺 The missing package manager for macOS (or Linux)
7,Ruby,awesome-awesomeness,28352,3457,1713,Ruby,https://github.com/bayandin/awesome-awesomeness,bayandin,393,1,11,60,0,2014-07-08T05:44:19Z,2021-12-28T22:20:40Z,A curated list of awesome awesomeness
8,Ruby,devdocs,27300,1840,621,Ruby,https://github.com/freeCodeCamp/devdocs,freeCodeCamp,689,0,99,968,0,2013-10-24T18:16:07Z,2021-12-28T22:04:22Z,API Documentation Browser
9,Ruby,mastodon,26180,4259,642,Ruby,https://github.com/mastodon/mastodon,mastodon,10766,2,1969,6361,0,2016-02-22T15:01:25Z,2021-12-28T22:25:59Z,"Your self-hosted, globally interconnected microblogging community"
10,Ruby,metasploit-framework,25962,11856,2002,Ruby,https://github.com/rapid7/metasploit-framework,rapid7,10873,5,465,4887,0,2011-08-30T06:13:20Z,2021-12-28T20:09:49Z,Metasploit Framework
11,Ruby,vagrant,23137,4190,748,Ruby,https://github.com/hashicorp/vagrant,hashicorp,3551,48,528,9027,0,2010-01-21T08:34:27Z,2021-12-28T14:16:25Z,Vagrant is a tool for building and distributing development environments.
12,Ruby,gitlabhq,22801,5694,1003,Ruby,https://github.com/gitlabhq/gitlabhq,gitlabhq,3619,33,0,0,0,2011-10-02T16:25:27Z,2021-12-28T21:17:06Z,GitLab CE Mirror | Please open new issues in our issue tracker on GitLab.com
13,Ruby,devise,22098,5339,475,Ruby,https://github.com/heartcombo/devise,heartcombo,1349,10,119,4067,0,2009-09-16T12:15:12Z,2021-12-28T12:57:19Z,Flexible authentication solution for Rails with Warden.
14,Ruby,engineering-blogs,20632,546,899,Ruby,https://github.com/kilimchoi/engineering-blogs,kilimchoi,963,0,4,78,0,2015-06-13T18:25:17Z,2021-12-28T15:06:07Z,A curated list of engineering blogs
15,Ruby,homebrew-cask,18782,9536,313,Ruby,https://github.com/Homebrew/homebrew-cask,Homebrew,110364,1,20,5962,0,2012-03-05T02:05:17Z,2021-12-28T21:36:42Z,🍻 A CLI workflow for the administration of macOS applications distributed as binaries
16,Ruby,ruby,18746,5588,1147,Ruby,https://github.com/ruby/ruby,ruby,5332,2,0,0,0,2010-02-27T15:55:23Z,2021-12-28T18:52:15Z,The Ruby Programming Language [mirror]
17,Ruby,forem,18417,3236,360,Ruby,https://github.com/forem/forem,forem,11157,4,363,4259,0,2016-11-13T23:02:13Z,2021-12-28T23:08:10Z,For empowering community 🌱
18,Ruby,CocoaPods,13523,2496,562,Ruby,https://github.com/CocoaPods/CocoaPods,CocoaPods,2051,59,276,8960,0,2011-08-14T00:10:53Z,2021-12-28T12:58:09Z,The Cocoa Dependency Manager.
19,Ruby,diaspora,12939,2933,489,Ruby,https://github.com/diaspora/diaspora,diaspora,3603,50,418,4692,0,2010-09-15T05:20:04Z,2021-12-28T19:37:23Z,"A privacy-aware, distributed, open source social network."
20,Ruby,bootstrap-sass,12725,3674,561,Ruby,https://github.com/twbs/bootstrap-sass,twbs,388,15,13,826,0,2011-09-06T18:58:49Z,2021-12-28T16:08:12Z,Official Sass port of Bootstrap 2 and 3.
1,C,linux,123314,40402,7906,C,https://github.com/torvalds/linux,torvalds,761,0,0,0,0,2011-09-04T22:48:12Z,2021-12-28T21:55:15Z,Linux kernel source tree
2,C,scrcpy,59235,6207,996,C,https://github.com/Genymobile/scrcpy,Genymobile,257,2,848,2618,0,2017-11-21T18:00:27Z,2021-12-28T23:18:35Z,Display and control your Android device
